code,country_en,country_cn,year,JR,entry_exit,capvol,mafdi,cwtfp,tfp_gr,lp_gr,bp_disp,scc,hitech,PMR,EPL,INSOLV,FDI,EFW,gdp_pc
EUU,European Union,欧盟,2020,25.02,12.53,3.13,5.45,0.8535,-2.93,-1.23,0.4357,0.262,0.16,1.34,2.54,0.723,0.753,7.75,34507.0
EUU,European Union,欧盟,2021,18.04,9.44,3.17,5.17,0.8717,0.12,2.11,0.4005,0.295,0.1617,1.33,2.54,0.726,0.756,7.75,36630.0
EUU,European Union,欧盟,2022,20.06,10.39,3.71,4.89,0.8726,0.18,0.87,0.4014,0.189,0.1747,1.33,2.53,0.729,0.759,7.75,37502.0
EUU,European Union,欧盟,2023,20.08,9.79,3.0,5.73,0.8735,-0.05,0.87,0.3902,0.15,0.1843,1.32,2.53,0.732,0.762,7.75,38375.0
FRA,France,法国,2000,19.43,9.76,1.89,4.29,0.9084,0.27,0.75,0.3995,-0.024,0.1165,1.61,2.78,0.682,0.733,7.66,21259.0
FRA,France,法国,2001,19.46,9.05,1.89,4.97,0.9093,0.64,0.6,0.406,0.04,0.1287,1.6,2.77,0.684,0.736,7.66,22272.0
FRA,France,法国,2002,19.49,9.83,3.0,4.41,0.9103,0.67,0.77,0.4305,-0.012,0.1287,1.59,2.76,0.686,0.739,7.66,23284.0
FRA,France,法国,2003,19.52,9.68,3.41,4.96,0.9112,0.4,0.7,0.3937,-0.094,0.1273,1.58,2.76,0.688,0.742,7.67,24296.0
FRA,France,法国,2004,19.55,10.08,2.88,4.18,0.9121,0.17,0.93,0.4167,-0.074,0.1299,1.57,2.76,0.69,0.745,7.68,25309.0
FRA,France,法国,2005,19.58,9.67,4.02,5.46,0.913,0.33,0.97,0.3984,0.15,0.1328,1.56,2.75,0.692,0.748,7.68,26321.0
FRA,France,法国,2006,19.61,9.62,3.37,4.93,0.914,0.25,0.71,0.4241,0.097,0.1364,1.55,2.74,0.694,0.751,7.68,27333.0
FRA,France,法国,2007,19.64,10.32,3.73,4.98,0.9149,0.62,0.49,0.3903,0.069,0.1389,1.54,2.74,0.696,0.754,7.69,28346.0
FRA,France,法国,2008,19.67,9.5,2.17,4.76,0.9158,0.09,0.93,0.4195,-0.153,0.1446,1.53,2.74,0.698,0.757,7.7,29358.0
FRA,France,法国,2009,19.7,9.98,3.42,5.23,0.9167,0.17,1.07,0.3854,0.038,0.1327,1.52,2.73,0.7,0.76,7.7,30370.0
FRA,France,法国,2010,19.73,9.67,2.38,5.38,0.9177,0.33,0.92,0.4129,0.147,0.1354,1.51,2.72,0.702,0.763,7.7,31383.0
FRA,France,法国,2011,19.76,9.98,3.23,3.66,0.9186,0.26,0.86,0.4044,0.008,0.1457,1.5,2.72,0.704,0.766,7.71,32395.0
FRA,France,法国,2012,19.79,11.13,3.2,4.1,0.9195,0.34,0.4,0.3794,0.208,0.1368,1.49,2.72,0.706,0.769,7.72,33408.0
FRA,France,法国,2013,19.82,10.42,2.94,4.95,0.9204,0.2,0.63,0.4077,-0.017,0.1359,1.48,2.71,0.708,0.772,7.72,34420.0
FRA,France,法国,2014,19.85,11.01,3.13,5.43,0.9214,0.19,1.0,0.3813,0.015,0.1431,1.47,2.7,0.71,0.775,7.72,35432.0
FRA,France,法国,2015,19.88,10.31,3.2,4.48,0.9223,0.16,0.8,0.3904,0.045,0.1515,1.46,2.7,0.712,0.778,7.73,36445.0
FRA,France,法国,2016,19.91,9.98,2.8,4.71,0.9232,0.34,0.55,0.3919,0.2,0.1513,1.45,2.7,0.714,0.781,7.74,37457.0
FRA,France,法国,2017,19.94,9.79,2.54,5.43,0.9241,0.33,0.73,0.4179,0.178,0.1582,1.44,2.69,0.716,0.784,7.74,38469.0
FRA,France,法国,2018,19.97,9.86,3.19,4.03,0.9251,0.11,0.36,0.3792,0.216,0.1446,1.43,2.68,0.718,0.787,7.74,39482.0
FRA,France,法国,2019,20.0,10.5,3.41,5.74,0.926,0.12,0.85,0.3851,0.181,0.1534,1.42,2.68,0.72,0.79,7.75,40494.0
FRA,France,法国,2020,25.03,12.69,2.71,5.06,0.9084,-2.51,-1.21,0.3679,0.094,0.153,1.41,2.68,0.722,0.793,7.76,40054.0
FRA,France,法国,2021,18.06,9.55,2.76,4.56,0.9279,0.51,1.8,0.3711,0.016,0.1624,1.4,2.67,0.724,0.796,7.76,42519.0
FRA,France,法国,2022,20.09,10.12,3.44,4.17,0.9288,0.14,0.85,0.3824,0.176,0.1424,1.39,2.66,0.726,0.799,7.76,43531.0
FRA,France,法国,2023,20.12,10.19,2.35,4.82,0.9297,0.26,0.7,0.3989,0.256,0.1573,1.38,2.66,0.728,0.802,7.77,44543.0
GBR,United Kingdom,英国,2000,25.38,12.35,3.36,6.98,0.8123,0.48,0.8,0.432,0.029,0.1405,1.35,1.9,0.773,0.793,7.98,22223.0
GBR,United Kingdom,英国,2001,25.36,12.75,2.94,7.59,0.8131,0.47,0.46,0.4226,0.1,0.1323,1.34,1.9,0.776,0.796,7.97,23282.0
GBR,United Kingdom,英国,2002,25.34,12.68,3.14,8.01,0.8139,0.53,0.44,0.4358,-0.055,0.1527,1.34,1.9,0.779,0.799,7.96,24340.0
GBR,United Kingdom,英国,2003,25.32,12.1,3.51,6.87,0.8148,0.27,0.48,0.4157,0.048,0.1555,1.33,1.9,0.782,0.802,7.96,25398.0
GBR,United Kingdom,英国,2004,25.3,12.74,3.36,7.97,0.8156,0.29,0.74,0.4574,-0.079,0.1469,1.32,1.9,0.785,0.805,7.96,26456.0
GBR,United Kingdom,英国,2005,25.28,12.87,3.16,7.94,0.8164,0.45,0.95,0.4285,-0.014,0.1589,1.31,1.9,0.788,0.808,7.95,27514.0
GBR,United Kingdom,英国,2006,25.26,13.97,3.13,7.62,0.8172,0.41,0.45,0.4399,0.003,0.1421,1.3,1.9,0.791,0.811,7.94,28573.0
GBR,United Kingdom,英国,2007,25.24,11.07,4.02,7.83,0.8181,0.47,0.72,0.4443,0.155,0.1635,1.3,1.9,0.794,0.814,7.94,29631.0
GBR,United Kingdom,英国,2008,25.22,12.23,3.27,7.61,0.8189,0.52,0.5,0.4624,-0.096,0.1524,1.29,1.9,0.797,0.817,7.94,30689.0
GBR,United Kingdom,英国,2009,25.2,13.47,3.28,7.46,0.8197,0.39,0.83,0.4451,0.156,0.1498,1.28,1.9,0.8,0.82,7.93,31748.0
GBR,United Kingdom,英国,2010,25.18,12.51,3.44,7.39,0.8205,0.15,0.93,0.4297,0.033,0.1561,1.27,1.9,0.803,0.823,7.92,32806.0
GBR,United Kingdom,英国,2011,25.16,12.61,3.91,6.98,0.8214,0.33,1.06,0.4266,0.237,0.1612,1.26,1.9,0.806,0.826,7.92,33864.0
GBR,United Kingdom,英国,2012,25.14,12.89,3.66,7.92,0.8222,0.35,0.93,0.4398,0.141,0.1579,1.26,1.9,0.809,0.829,7.92,34922.0
GBR,United Kingdom,英国,2013,25.12,12.44,3.64,7.82,0.823,0.16,1.06,0.4459,0.128,0.1505,1.25,1.9,0.812,0.832,7.91,35980.0
GBR,United Kingdom,英国,2014,25.1,13.64,3.29,6.74,0.8239,0.14,0.79,0.4204,0.23,0.1643,1.24,1.9,0.815,0.835,7.9,37039.0
GBR,United Kingdom,英国,2015,25.08,12.66,3.35,7.32,0.8247,0.53,0.33,0.4012,0.064,0.1694,1.23,1.9,0.818,0.838,7.9,38097.0
GBR,United Kingdom,英国,2016,25.06,12.2,3.34,6.34,0.8255,0.37,0.87,0.4158,0.298,0.172,1.22,1.9,0.821,0.841,7.9,39155.0
GBR,United Kingdom,英国,2017,25.04,13.49,3.61,6.93,0.8263,0.34,0.37,0.3608,0.036,0.1666,1.22,1.9,0.824,0.844,7.89,40214.0
GBR,United Kingdom,英国,2018,25.02,13.6,3.33,7.84,0.8272,0.39,0.53,0.3986,0.158,0.1531,1.21,1.9,0.827,0.847,7.88,41272.0
GBR,United Kingdom,英国,2019,25.0,12.29,3.12,7.74,0.828,0.05,1.03,0.3872,0.174,0.1819,1.2,1.9,0.83,0.85,7.88,42330.0
GBR,United Kingdom,英国,2020,29.98,15.05,4.07,8.29,0.8123,-2.7,-0.98,0.4056,0.118,0.1587,1.19,1.9,0.833,0.853,7.88,41870.0
GBR,United Kingdom,英国,2021,22.96,12.02,4.08,8.38,0.8297,0.33,1.65,0.4165,0.165,0.1939,1.18,1.9,0.836,0.856,7.87,44446.0
GBR,United Kingdom,英国,2022,24.94,13.22,3.2,7.61,0.8305,-0.18,0.76,0.4121,0.104,0.1685,1.18,1.9,0.839,0.859,7.86,45505.0
GBR,United Kingdom,英国,2023,24.92,13.06,3.58,7.75,0.8313,0.31,0.65,0.349,0.068,0.1788,1.17,1.9,0.842,0.862,7.86,46563.0
IDN,Indonesia,印尼,2000,18.48,9.19,5.61,2.46,0.3562,1.26,3.85,0.8961,0.839,0.0462,2.39,2.75,0.348,0.23,6.56,2171.0
IDN,Indonesia,印尼,2001,18.56,9.04,5.2,2.42,0.3595,1.56,3.97,0.8315,0.778,0.0475,2.38,2.75,0.356,0.24,6.57,2275.0
IDN,Indonesia,印尼,2002,18.64,8.78,5.18,1.96,0.3629,1.63,3.89,0.8858,0.707,0.0533,2.37,2.75,0.364,0.25,6.58,2378.0
IDN,Indonesia,印尼,2003,18.72,9.24,5.25,2.74,0.3662,1.65,3.84,0.8881,0.717,0.0744,2.36,2.75,0.372,0.26,6.59,2482.0
IDN,Indonesia,印尼,2004,18.8,9.52,5.59,1.74,0.3696,1.54,3.57,0.8748,0.838,0.0761,2.35,2.75,0.38,0.27,6.6,2585.0
IDN,Indonesia,印尼,2005,18.88,9.12,5.16,1.66,0.373,1.4,3.66,0.8294,0.852,0.0556,2.34,2.75,0.388,0.28,6.61,2688.0
IDN,Indonesia,印尼,2006,18.96,8.53,6.29,1.73,0.3763,1.57,3.51,0.8351,0.736,0.0519,2.33,2.75,0.396,0.29,6.62,2792.0
IDN,Indonesia,印尼,2007,19.04,10.14,6.06,2.74,0.3797,1.57,3.73,0.8425,0.828,0.0696,2.32,2.75,0.404,0.3,6.63,2895.0
IDN,Indonesia,印尼,2008,19.12,9.98,5.24,2.47,0.383,1.16,3.96,0.8629,0.864,0.0591,2.31,2.75,0.412,0.31,6.64,2999.0
IDN,Indonesia,印尼,2009,19.2,9.86,5.84,2.21,0.3864,1.49,3.87,0.8321,0.803,0.0703,2.3,2.75,0.42,0.32,6.65,3102.0
IDN,Indonesia,印尼,2010,19.28,9.33,5.94,1.61,0.3898,1.05,3.43,0.8279,0.643,0.0709,2.29,2.75,0.428,0.33,6.66,3205.0
IDN,Indonesia,印尼,2011,19.36,9.99,5.88,1.95,0.3931,0.84,3.66,0.8275,0.922,0.0463,2.28,2.75,0.436,0.34,6.67,3309.0
IDN,Indonesia,印尼,2012,19.44,9.08,5.04,2.22,0.3965,1.07,3.37,0.8343,0.993,0.0696,2.27,2.75,0.444,0.35,6.68,3412.0
IDN,Indonesia,印尼,2013,19.52,9.0,5.67,2.39,0.3998,1.12,3.8,0.8659,0.784,0.0653,2.26,2.75,0.452,0.36,6.69,3516.0
IDN,Indonesia,印尼,2014,19.6,9.68,5.45,2.18,0.4032,1.07,3.66,0.8577,0.875,0.0505,2.25,2.75,0.46,0.37,6.7,3619.0
IDN,Indonesia,印尼,2015,19.68,9.81,5.21,2.58,0.4066,0.92,3.94,0.8122,0.92,0.0654,2.24,2.75,0.468,0.38,6.71,3722.0
IDN,Indonesia,印尼,2016,19.76,9.65,5.17,2.69,0.4099,1.01,4.04,0.8395,1.049,0.065,2.23,2.75,0.476,0.39,6.72,3826.0
IDN,Indonesia,印尼,2017,19.84,10.0,5.53,2.28,0.4133,1.16,4.07,0.7849,0.968,0.0617,2.22,2.75,0.484,0.4,6.73,3929.0
IDN,Indonesia,印尼,2018,19.92,9.13,6.05,2.44,0.4166,1.22,3.91,0.8383,1.081,0.0822,2.21,2.75,0.492,0.41,6.74,4033.0
IDN,Indonesia,印尼,2019,20.0,9.66,5.43,2.53,0.42,1.16,4.04,0.8012,0.943,0.0638,2.2,2.75,0.5,0.42,6.75,4136.0
IDN,Indonesia,印尼,2020,25.08,12.79,5.47,1.84,0.4149,-1.66,1.86,0.8111,1.028,0.0618,2.19,2.75,0.508,0.43,6.76,4091.0
IDN,Indonesia,印尼,2021,18.16,9.27,5.32,3.29,0.4267,1.29,4.57,0.7488,0.93,0.0591,2.18,2.75,0.516,0.44,6.77,4343.0
IDN,Indonesia,印尼,2022,20.24,9.57,6.05,1.85,0.4301,1.24,4.0,0.8124,0.95,0.0798,2.17,2.75,0.524,0.45,6.78,4446.0
IDN,Indonesia,印尼,2023,20.32,9.94,6.2,2.97,0.4334,1.0,3.73,0.7853,0.859,0.0523,2.16,2.75,0.532,0.46,6.79,4550.0
IND,India,印度,2000,16.1,8.43,6.58,2.79,0.2778,3.54,5.21,1.0659,0.933,0.0928,2.68,3.1,0.23,0.368,6.3,1103.0
IND,India,印度,2001,16.2,8.1,6.02,2.25,0.2813,3.55,4.87,1.0618,1.223,0.0898,2.67,3.09,0.24,0.376,6.31,1156.0
IND,India,印度,2002,16.3,8.25,6.36,1.55,0.2847,3.64,5.26,1.0523,0.837,0.0845,2.66,3.08,0.25,0.384,6.32,1208.0
IND,India,印度,2003,16.4,8.78,6.5,2.75,0.2881,3.34,5.15,1.0408,1.117,0.0969,2.64,3.08,0.26,0.392,6.34,1261.0
IND,India,印度,2004,16.5,7.77,7.19,2.65,0.2916,3.26,5.6,0.9759,0.964,0.0949,2.62,3.08,0.27,0.4,6.36,1313.0
IND,India,印度,2005,16.6,8.75,6.98,2.54,0.295,3.44,5.11,1.0148,1.057,0.0823,2.61,3.07,0.28,0.408,6.37,1366.0
IND,India,印度,2006,16.7,8.42,6.31,2.67,0.2984,3.4,5.16,1.0273,0.983,0.0976,2.6,3.06,0.29,0.416,6.38,1418.0
IND,India,印度,2007,16.8,8.03,7.39,2.73,0.3018,3.27,4.81,1.0244,1.04,0.076,2.58,3.06,0.3,0.424,6.4,1471.0
IND,India,印度,2008,16.9,9.08,6.2,2.09,0.3053,2.65,5.08,0.9907,1.158,0.094,2.56,3.06,0.31,0.432,6.42,1523.0
IND,India,印度,2009,17.0,7.92,7.08,3.22,0.3087,2.39,5.28,1.0234,1.011,0.0926,2.55,3.05,0.32,0.44,6.43,1576.0
IND,India,印度,2010,17.1,8.58,6.6,2.92,0.3121,2.34,5.5,0.9874,1.165,0.1,2.54,3.04,0.33,0.448,6.44,1628.0
IND,India,印度,2011,17.2,8.77,6.82,3.19,0.3156,2.42,5.4,0.984,1.029,0.0949,2.52,3.04,0.34,0.456,6.46,1681.0
IND,India,印度,2012,17.3,8.66,6.22,2.59,0.319,2.37,5.15,0.9864,1.157,0.0961,2.5,3.04,0.35,0.464,6.48,1733.0
IND,India,印度,2013,17.4,9.13,6.95,2.41,0.3224,2.39,5.08,0.9845,1.036,0.1112,2.49,3.03,0.36,0.472,6.49,1786.0
IND,India,印度,2014,17.5,9.38,6.96,2.79,0.3259,2.43,5.15,0.9807,1.048,0.1045,2.48,3.02,0.37,0.48,6.5,1838.0
IND,India,印度,2015,17.6,8.95,5.83,3.2,0.3293,2.41,5.49,0.997,0.988,0.0921,2.46,3.02,0.38,0.488,6.52,1891.0
IND,India,印度,2016,17.7,8.99,6.59,2.44,0.3327,2.24,5.41,0.9724,1.161,0.088,2.44,3.02,0.39,0.496,6.54,1943.0
IND,India,印度,2017,17.8,9.04,6.71,2.93,0.3361,2.26,5.04,0.9397,1.118,0.1066,2.43,3.01,0.4,0.504,6.55,1996.0
IND,India,印度,2018,17.9,8.5,6.55,2.4,0.3396,2.34,4.98,0.9588,1.169,0.1091,2.42,3.0,0.41,0.512,6.56,2048.0
IND,India,印度,2019,18.0,8.6,6.73,2.62,0.343,2.19,4.91,0.971,1.131,0.0931,2.4,3.0,0.42,0.52,6.58,2101.0
IND,India,印度,2020,23.1,12.47,6.88,2.51,0.3395,-0.48,3.09,0.9226,1.258,0.09,2.38,3.0,0.43,0.528,6.6,2078.0
IND,India,印度,2021,16.2,8.14,7.27,2.48,0.3499,2.8,6.29,0.9217,1.042,0.097,2.37,2.99,0.44,0.536,6.61,2206.0
IND,India,印度,2022,18.3,9.15,6.0,2.47,0.3533,2.72,5.12,0.9123,1.302,0.0973,2.36,2.98,0.45,0.544,6.62,2259.0
IND,India,印度,2023,18.4,8.84,7.06,2.06,0.3567,2.64,5.26,0.9182,1.118,0.0823,2.34,2.98,0.46,0.552,6.64,2311.0
ITA,Italy,意大利,2000,17.62,8.93,3.73,3.24,0.8532,-0.52,0.47,0.4516,-0.296,0.1002,1.61,3.08,0.542,0.641,7.77,17445.0
ITA,Italy,意大利,2001,17.64,9.24,2.56,2.53,0.8516,-0.42,0.06,0.4405,-0.17,0.0989,1.6,3.07,0.544,0.642,7.77,18275.0
ITA,Italy,意大利,2002,17.66,9.41,3.92,3.49,0.8499,0.04,0.07,0.4729,-0.222,0.1046,1.59,3.06,0.546,0.643,7.76,19106.0
ITA,Italy,意大利,2003,17.68,9.09,3.53,2.7,0.8483,-0.28,0.16,0.4722,-0.126,0.1001,1.58,3.05,0.548,0.644,7.76,19937.0
ITA,Italy,意大利,2004,17.7,9.67,2.92,3.22,0.8467,-0.04,0.46,0.4493,-0.037,0.0953,1.57,3.04,0.55,0.645,7.76,20768.0
ITA,Italy,意大利,2005,17.72,8.88,3.6,2.58,0.845,-0.01,0.06,0.4489,-0.095,0.0926,1.56,3.03,0.552,0.646,7.76,21598.0
ITA,Italy,意大利,2006,17.74,8.76,3.24,3.62,0.8434,0.12,0.33,0.4428,-0.147,0.1054,1.55,3.02,0.554,0.647,7.76,22429.0
ITA,Italy,意大利,2007,17.76,8.86,3.73,2.37,0.8417,-0.19,0.63,0.4473,-0.102,0.1024,1.54,3.01,0.556,0.648,7.75,23260.0
ITA,Italy,意大利,2008,17.78,8.46,3.64,2.84,0.8401,-0.06,0.39,0.4296,-0.227,0.0905,1.53,3.0,0.558,0.649,7.75,24090.0
ITA,Italy,意大利,2009,17.8,8.63,3.33,2.37,0.8384,-0.06,-0.01,0.4369,-0.067,0.1287,1.52,2.99,0.56,0.65,7.75,24921.0
ITA,Italy,意大利,2010,17.82,8.48,2.96,2.78,0.8368,-0.37,0.21,0.4682,0.017,0.1009,1.51,2.98,0.562,0.651,7.75,25752.0
ITA,Italy,意大利,2011,17.84,8.52,2.64,2.98,0.8352,-0.0,0.12,0.4395,-0.002,0.1151,1.5,2.97,0.564,0.652,7.75,26582.0
ITA,Italy,意大利,2012,17.86,9.36,3.21,2.94,0.8335,0.01,0.6,0.4429,-0.172,0.1159,1.49,2.96,0.566,0.653,7.74,27413.0
ITA,Italy,意大利,2013,17.88,9.07,3.24,2.29,0.8319,-0.09,0.47,0.4248,-0.014,0.1182,1.48,2.95,0.568,0.654,7.74,28244.0
ITA,Italy,意大利,2014,17.9,8.81,3.05,2.41,0.8302,-0.02,0.29,0.4276,-0.001,0.1251,1.47,2.94,0.57,0.655,7.74,29074.0
ITA,Italy,意大利,2015,17.92,9.01,3.89,2.35,0.8286,0.13,0.47,0.4402,0.01,0.1084,1.46,2.93,0.572,0.656,7.74,29905.0
ITA,Italy,意大利,2016,17.94,8.16,3.38,2.54,0.8269,-0.03,0.06,0.4403,0.06,0.1118,1.45,2.92,0.574,0.657,7.74,30736.0
ITA,Italy,意大利,2017,17.96,9.08,3.98,2.4,0.8253,-0.25,0.49,0.3913,0.098,0.1118,1.44,2.91,0.576,0.658,7.73,31567.0
ITA,Italy,意大利,2018,17.98,9.88,3.61,2.23,0.8236,-0.21,0.3,0.4383,-0.078,0.1211,1.43,2.9,0.578,0.659,7.73,32397.0
ITA,Italy,意大利,2019,18.0,9.09,3.67,2.97,0.822,-0.12,0.12,0.4127,-0.071,0.1341,1.42,2.89,0.58,0.66,7.73,33228.0
ITA,Italy,意大利,2020,23.02,11.99,3.25,2.4,0.8039,-3.09,-1.37,0.4089,-0.015,0.1123,1.41,2.88,0.582,0.661,7.73,32867.0
ITA,Italy,意大利,2021,16.04,6.67,3.59,2.61,0.8187,0.27,1.27,0.4159,0.125,0.1208,1.4,2.87,0.584,0.662,7.73,34889.0
ITA,Italy,意大利,2022,18.06,9.67,3.74,2.91,0.8171,0.0,0.55,0.4442,0.188,0.1315,1.39,2.86,0.586,0.663,7.72,35720.0
ITA,Italy,意大利,2023,18.08,9.15,3.44,2.78,0.8154,-0.23,0.36,0.4357,0.049,0.1205,1.38,2.85,0.588,0.664,7.72,36551.0
JPN,Japan,日本,2000,10.1,4.74,2.32,0.87,0.6475,0.71,0.39,0.4137,-0.048,0.1874,1.52,2.09,0.663,0.823,7.74,21130.0
JPN,Japan,日本,2001,10.2,5.61,2.65,1.35,0.6481,0.55,0.62,0.4609,-0.216,0.1805,1.51,2.09,0.666,0.826,7.74,22136.0
JPN,Japan,日本,2002,10.3,4.21,3.08,1.29,0.6488,0.56,0.57,0.4223,-0.058,0.1916,1.5,2.09,0.669,0.829,7.74,23142.0
JPN,Japan,日本,2003,10.4,5.56,2.84,2.0,0.6494,0.54,0.64,0.4412,-0.077,0.1922,1.5,2.09,0.672,0.832,7.75,24148.0
JPN,Japan,日本,2004,10.5,4.94,2.57,1.88,0.6501,0.73,1.0,0.4456,-0.058,0.2071,1.5,2.09,0.675,0.835,7.76,25154.0
JPN,Japan,日本,2005,10.6,5.29,2.19,2.13,0.6508,0.42,0.17,0.4216,-0.179,0.1937,1.49,2.09,0.678,0.838,7.76,26161.0
JPN,Japan,日本,2006,10.7,5.02,2.82,1.86,0.6514,0.47,0.95,0.4173,0.093,0.1962,1.48,2.09,0.681,0.841,7.76,27167.0
JPN,Japan,日本,2007,10.8,5.6,3.15,1.12,0.6521,0.19,0.51,0.4288,0.008,0.1961,1.48,2.09,0.684,0.844,7.77,28173.0
JPN,Japan,日本,2008,10.9,5.73,2.4,1.73,0.6527,0.25,0.67,0.4192,-0.056,0.1933,1.48,2.09,0.687,0.847,7.78,29179.0
JPN,Japan,日本,2009,11.0,6.51,3.06,1.25,0.6534,0.43,0.79,0.3845,-0.087,0.2154,1.47,2.09,0.69,0.85,7.78,30185.0
JPN,Japan,日本,2010,11.1,5.74,2.33,1.42,0.6541,0.42,0.95,0.4154,0.056,0.1932,1.46,2.09,0.693,0.853,7.78,31191.0
JPN,Japan,日本,2011,11.2,5.53,3.63,1.79,0.6547,0.14,0.7,0.4283,0.161,0.201,1.46,2.09,0.696,0.856,7.79,32198.0
JPN,Japan,日本,2012,11.3,6.01,2.67,2.47,0.6554,0.22,0.76,0.395,-0.003,0.2193,1.45,2.09,0.699,0.859,7.8,33204.0
JPN,Japan,日本,2013,11.4,6.22,2.82,1.77,0.656,0.27,0.66,0.4428,0.087,0.2163,1.45,2.09,0.702,0.862,7.8,34210.0
JPN,Japan,日本,2014,11.5,5.79,2.88,2.07,0.6567,0.09,0.82,0.4244,0.038,0.2115,1.44,2.09,0.705,0.865,7.8,35216.0
JPN,Japan,日本,2015,11.6,5.95,2.3,0.7,0.6574,0.3,0.68,0.3722,0.19,0.2179,1.44,2.09,0.708,0.868,7.81,36222.0
JPN,Japan,日本,2016,11.7,5.97,2.49,0.52,0.658,0.19,0.9,0.4149,0.135,0.213,1.43,2.09,0.711,0.871,7.82,37228.0
JPN,Japan,日本,2017,11.8,5.74,2.73,1.53,0.6587,0.24,1.01,0.4015,-0.049,0.2175,1.43,2.09,0.714,0.874,7.82,38235.0
JPN,Japan,日本,2018,11.9,6.18,2.54,1.74,0.6593,0.2,0.3,0.3806,0.258,0.2253,1.42,2.09,0.717,0.877,7.82,39241.0
JPN,Japan,日本,2019,12.0,6.22,3.16,2.12,0.66,0.15,0.31,0.3816,0.222,0.227,1.42,2.09,0.72,0.88,7.83,40247.0
JPN,Japan,日本,2020,17.1,7.81,3.35,1.73,0.6474,-2.79,-0.85,0.405,0.115,0.2176,1.42,2.09,0.723,0.883,7.84,39809.0
JPN,Japan,日本,2021,10.2,5.47,3.02,2.52,0.6613,0.33,1.71,0.3977,0.089,0.2224,1.41,2.09,0.726,0.886,7.84,42259.0
JPN,Japan,日本,2022,12.3,6.3,3.03,0.79,0.662,0.45,0.94,0.4243,0.329,0.2145,1.4,2.09,0.729,0.889,7.84,43266.0
JPN,Japan,日本,2023,12.4,6.68,2.95,1.48,0.6626,0.01,0.62,0.4118,0.094,0.2354,1.4,2.09,0.732,0.892,7.85,44272.0
KOR,South Korea,韩国,2000,19.15,9.3,4.1,3.67,0.5103,1.55,2.14,0.5993,0.746,0.2097,1.88,2.57,0.528,0.66,7.34,16715.0
KOR,South Korea,韩国,2001,19.3,9.95,4.1,3.53,0.5166,1.6,2.39,0.5878,0.613,0.2101,1.86,2.56,0.536,0.67,7.35,17511.0
KOR,South Korea,韩国,2002,19.45,8.94,4.18,4.01,0.5229,1.55,2.07,0.607,0.546,0.2183,1.84,2.56,0.544,0.68,7.36,18307.0
KOR,South Korea,韩国,2003,19.6,9.79,4.19,4.3,0.5292,1.51,2.2,0.5547,0.657,0.2263,1.82,2.55,0.552,0.69,7.37,19103.0
KOR,South Korea,韩国,2004,19.75,9.62,4.41,4.51,0.5355,1.52,2.21,0.6366,0.664,0.2305,1.8,2.54,0.56,0.7,7.38,19899.0
KOR,South Korea,韩国,2005,19.9,9.99,4.27,4.14,0.5418,1.56,1.99,0.6306,0.7,0.2161,1.78,2.53,0.568,0.71,7.39,20695.0
KOR,South Korea,韩国,2006,20.05,10.01,4.18,4.92,0.5481,1.56,2.0,0.5912,0.759,0.2243,1.76,2.52,0.576,0.72,7.4,21491.0
KOR,South Korea,韩国,2007,20.2,9.97,3.29,4.31,0.5544,1.87,2.04,0.5413,0.801,0.2233,1.74,2.52,0.584,0.73,7.41,22287.0
KOR,South Korea,韩国,2008,20.35,10.35,4.77,4.14,0.5607,1.12,2.19,0.5489,0.645,0.2357,1.72,2.51,0.592,0.74,7.42,23083.0
KOR,South Korea,韩国,2009,20.5,10.95,3.74,3.99,0.567,1.14,2.31,0.5832,0.743,0.2344,1.7,2.5,0.6,0.75,7.43,23878.0
KOR,South Korea,韩国,2010,20.65,10.49,4.07,4.16,0.5733,1.15,1.94,0.5679,0.686,0.2346,1.68,2.49,0.608,0.76,7.44,24674.0
KOR,South Korea,韩国,2011,20.8,10.57,4.31,4.35,0.5796,1.09,2.26,0.6056,0.964,0.2269,1.66,2.48,0.616,0.77,7.45,25470.0
KOR,South Korea,韩国,2012,20.95,10.48,3.35,4.58,0.5859,0.88,2.23,0.5385,0.794,0.2383,1.64,2.48,0.624,0.78,7.46,26266.0
KOR,South Korea,韩国,2013,21.1,11.52,3.67,4.23,0.5922,1.2,2.08,0.5731,0.891,0.2354,1.62,2.47,0.632,0.79,7.47,27062.0
KOR,South Korea,韩国,2014,21.25,11.33,4.14,3.26,0.5985,1.11,1.52,0.568,0.888,0.2376,1.6,2.46,0.64,0.8,7.48,27858.0
KOR,South Korea,韩国,2015,21.4,10.97,3.29,3.1,0.6048,1.16,2.06,0.577,0.981,0.2355,1.58,2.45,0.648,0.81,7.49,28654.0
KOR,South Korea,韩国,2016,21.55,11.56,4.03,3.42,0.6111,1.08,1.94,0.5462,0.938,0.2548,1.56,2.44,0.656,0.82,7.5,29450.0
KOR,South Korea,韩国,2017,21.7,10.78,3.53,4.09,0.6174,1.22,2.09,0.5718,0.963,0.2365,1.54,2.44,0.664,0.83,7.51,30246.0
KOR,South Korea,韩国,2018,21.85,11.07,3.77,3.37,0.6237,1.21,2.07,0.5286,0.882,0.2477,1.52,2.43,0.672,0.84,7.52,31042.0
KOR,South Korea,韩国,2019,22.0,11.29,4.0,3.9,0.63,1.21,2.04,0.5543,0.669,0.253,1.5,2.42,0.68,0.85,7.53,31838.0
